"Room_Category","Fare_Class","MAPE_%","sMAPE_%","RMSE","MAE"
"Family","Y1_High","218.27814","145.51215","5.12672","4.8067"
"Family","Y2_Medium","47.71681","161.11374","3.39113","3.18715"
"Family","Y3_Low","27.31563","194.38788","1.11209","1.07894"
"Standard","Y1_High","158.80946","54.78834","24.91818","19.4419"
"Standard","Y2_Medium","62.50353","65.24708","6.92259","4.70253"
"Standard","Y3_Low","117.09886","89.11647","3.62925","3.02299"
"Superior","Y1_High","176.27547","112.11757","3.3304","2.9656"
"Superior","Y2_Medium","40.73036","151.56878","1.17494","1.0822"
"Superior","Y3_Low","60.55827","188.82216","0.64268","0.61681"
