Arrival_Date,Room_Category,Fare_Class,forecast_mu,forecast_sigma,ci_lower_95,ci_upper_95
2025-09-25,Standard,Y1_High,17.07302725062827,9.213495748033592,-0.9850925914682058,35.131147092724746
2025-09-26,Standard,Y1_High,17.084315259049735,9.47178197621526,-1.4800362881043014,35.64866680620377
2025-09-27,Standard,Y1_High,17.095603267471198,9.723209537538489,-1.9615372447127442,36.15274377965514
2025-09-28,Standard,Y1_High,17.10689127589266,9.96829742818715,-2.4306126751222763,36.6443952269076
2025-09-29,Standard,Y1_High,17.118179284314124,10.207502315587574,-2.8881576310416257,37.12451619966987
2025-09-30,Standard,Y1_High,17.129467292735587,10.441228540198171,-3.3349646052069524,37.59389919067813
2025-10-01,Standard,Y1_High,17.14075530115705,10.669836143754596,-3.771739266453242,38.05324986876734
2025-10-02,Standard,Y1_High,17.152043309578513,10.893647380032785,-4.199113220575352,38.503199839732375
2025-10-03,Standard,Y1_High,17.163331317999976,11.112952044637746,-4.617654456522118,38.94431709252207
2025-10-04,Standard,Y1_High,17.17461932642144,11.328011875538506,-5.027875971286335,39.37711462412921
2025-10-05,Standard,Y1_High,17.185907334842902,11.539064215016078,-5.4302429471909015,39.80205761687671
2025-10-06,Standard,Y1_High,17.197195343264365,11.746325079112518,-5.825178767898446,40.21956945442717
2025-10-07,Standard,Y1_High,17.208483351685828,11.949991747700533,-6.213070094854423,40.63003679822608
2025-10-08,Standard,Y1_High,17.21977136010729,12.150244963622503,-6.594271177520451,41.03381389773503
2025-10-09,Standard,Y1_High,17.231059368528754,12.34725081068483,-6.96910753417556,41.43122627123307
2025-10-10,Standard,Y1_High,17.242347376950217,12.541162326031838,-7.337879112111011,41.822573866011446
2025-10-11,Standard,Y1_High,17.25363538537168,12.732120891422744,-7.700863014482987,42.20813378522635
2025-10-12,Standard,Y1_High,17.264923393793143,12.92025743937506,-8.058315864310295,42.58816265189658
2025-10-13,Standard,Y1_High,17.276211402214606,13.105693503422463,-8.41047586294189,42.96289866737111
2025-10-14,Standard,Y1_High,17.28749941063607,13.288542136426136,-8.75756458991411,43.33256341118625
2025-10-15,Standard,Y1_High,17.298787419057533,13.468908716651697,-9.09978858283236,43.697363420947426
2025-10-16,Standard,Y1_High,17.310075427478996,13.646891657935122,-9.43734072927078,44.05749158422877
2025-10-17,Standard,Y1_High,17.32136343590046,13.822583037527476,-9.770401497325299,44.41312836912621
2025-10-18,Standard,Y1_High,17.33265144432192,13.996069152989543,-10.099140027107037,44.76444291575088
2025-10-19,Standard,Y1_High,17.343939452743385,14.167431017696488,-10.42371510191363,45.1115940074004
2025-10-20,Standard,Y1_High,17.355227461164848,14.33674480302665,-10.744276014903306,45.454730937233
2025-10-21,Standard,Y1_High,17.36651546958631,14.504082234082748,-11.060963344694215,45.79399428386684
2025-10-22,Standard,Y1_High,17.377803478007774,14.66951094477788,-11.373909651320194,46.129516607335745
2025-10-23,Standard,Y1_High,17.389091486429237,14.833094797272793,-11.683240102316311,46.461423075174785
2025-10-24,Standard,Y1_High,17.4003794948507,14.994894170043493,-11.98907303732101,46.78983202702241
2025-09-25,Standard,Y2_Medium,4.908033138703965,8.114379860240923,-10.995859147977578,20.81192542538551
2025-09-26,Standard,Y2_Medium,4.85952600277769,8.308123831768214,-11.424097490408206,21.143149495963584
2025-09-27,Standard,Y2_Medium,11.690205701146446,8.497451541003711,-4.964493283503579,28.34490468579647
2025-09-28,Standard,Y2_Medium,5.699861022147377,8.682651886343123,-11.317823969377457,22.717546013672212
2025-09-29,Standard,Y2_Medium,2.061954058935714,8.863983577778631,-15.311134517141848,19.43504263501328
2025-09-30,Standard,Y2_Medium,3.938524339713929,9.04167937691006,-13.78284160294703,21.65989028237489
2025-10-01,Standard,Y2_Medium,4.399722411798486,9.215949600695101,-13.66320689313904,22.462651716736012
2025-10-02,Standard,Y2_Medium,4.4700967551648,9.475426454011089,-14.101397837213192,23.04159134754279
2025-10-03,Standard,Y2_Medium,4.422515040519974,9.659303545001052,-14.509372027864915,23.354402108904864
2025-10-04,Standard,Y2_Medium,11.12227254892177,9.839745091391684,-8.163273451786463,30.407818549630004
2025-10-05,Standard,Y2_Medium,5.246735513820155,10.016936754949764,-14.386099765904152,24.879570793544463
2025-10-06,Standard,Y2_Medium,1.6785489914820397,10.191048054138506,-18.29553816403376,21.65263614699784
2025-10-07,Standard,Y2_Medium,3.519148347363782,10.362234263461575,-16.790457613153905,23.828754307881468
2025-10-08,Standard,Y2_Medium,3.971502747996026,10.530638034798928,-16.668168539281048,24.611174035273102
2025-10-09,Standard,Y2_Medium,4.040524010919099,10.775957510999321,-17.07996461452981,25.16101263636801
2025-10-10,Standard,Y2_Medium,3.9938499807812597,10.953828925830813,-17.47526021169837,25.46296017326089
2025-10-11,Standard,Y2_Medium,10.565194575155585,11.12885780275195,-11.24696591242447,32.37735506273564
2025-10-12,Standard,Y2_Medium,4.8022647620170344,11.3011762153936,-17.347633608293023,26.952163132327094
2025-10-13,Standard,Y2_Medium,1.3024624072681692,11.470906315931755,-21.180100847267102,23.78502566180344
2025-10-14,Standard,Y2_Medium,3.1077802628375126,11.63816134818504,-19.70259683122421,25.918157356899233
2025-10-15,Standard,Y2_Medium,3.5514604912596854,11.803046531463533,-19.582085623688005,26.685006606207377
2025-10-16,Standard,Y2_Medium,3.6191546070988756,12.03836580915123,-19.97560881709292,27.213918031290667
2025-10-17,Standard,Y2_Medium,3.5733708646394606,12.212420100635201,-20.362532702295606,27.50927443157453
2025-10-18,Standard,Y2_Medium,10.018763727735934,12.384028345972729,-14.253485819589734,34.2910132750616
2025-10-19,Standard,Y2_Medium,4.366282888269947,12.553290860699168,-20.237715091930074,28.970280868469967
2025-10-20,Standard,Y2_Medium,0.9335540390566561,12.72030128545588,-23.99777835878607,25.864886436899383
2025-10-21,Standard,Y2_Medium,2.7042666052742126,12.885147191717595,-22.55015783191616,27.958691042464586
2025-10-22,Standard,Y2_Medium,3.139438912078572,13.047910618627224,-22.433995979929858,28.712873804087
2025-10-23,Standard,Y2_Medium,3.205831317150264,13.27582652096546,-22.814310535049884,29.22597316935041
2025-10-24,Standard,Y2_Medium,3.1609207989711487,13.447407494203478,-23.195513581286765,29.51735517922906
2025-09-27,Standard,Y3_Low,1.6585154661576607,10.4995151913037,-18.920156168757977,22.237187101073296
2025-09-28,Standard,Y3_Low,1.095449099463302,10.653338367884393,-19.78471042160879,21.975608620535393
2025-09-29,Standard,Y3_Low,0.5280550367580823,10.759155698086762,-20.559502640499502,21.61561271401567
2025-09-30,Standard,Y3_Low,0.6798132561355746,11.139069947200255,-21.152362666772778,22.511989179043926
